company,ticker,FY2023 annual,FY2024 annual,FY2025 annual,FY2025 Q1,FY2025 Q2,FY2025 Q3
Apple Inc.,AAPL,ACQUIRED_VERIFIED SEC_320193_000032019323000106,ACQUIRED_VERIFIED SEC_320193_000032019324000123,ACQUIRED_VERIFIED SEC_320193_000032019325000079,ACQUIRED_VERIFIED SEC_320193_000032019325000008,ACQUIRED_VERIFIED SEC_320193_000032019325000057,ACQUIRED_VERIFIED SEC_320193_000032019325000073
"Amazon.com, Inc.",AMZN,ACQUIRED_VERIFIED SEC_1018724_000101872424000008,ACQUIRED_VERIFIED SEC_1018724_000101872425000004,ACQUIRED_VERIFIED SEC_1018724_000101872426000004,ACQUIRED_VERIFIED SEC_1018724_000101872425000036,ACQUIRED_VERIFIED SEC_1018724_000101872425000086,ACQUIRED_VERIFIED SEC_1018724_000101872425000123
Alphabet Inc.,GOOGL,ACQUIRED_VERIFIED SEC_1652044_000165204424000022,ACQUIRED_VERIFIED SEC_1652044_000165204425000014,ACQUIRED_VERIFIED SEC_1652044_000165204426000018,ACQUIRED_VERIFIED SEC_1652044_000165204425000043,ACQUIRED_VERIFIED SEC_1652044_000165204425000062,ACQUIRED_VERIFIED SEC_1652044_000165204425000091
JPMorgan Chase & Co.,JPM,ACQUIRED_VERIFIED SEC_19617_000001961724000225,ACQUIRED_VERIFIED SEC_19617_000001961725000270,ACQUIRED_VERIFIED SEC_19617_000162828026008131,ACQUIRED_VERIFIED SEC_19617_000001961725000421,ACQUIRED_VERIFIED SEC_19617_000001961725000615,ACQUIRED_VERIFIED SEC_19617_000162828025048859
The Coca-Cola Company,KO,ACQUIRED_VERIFIED SEC_21344_000002134424000009,ACQUIRED_VERIFIED SEC_21344_000002134425000011,ACQUIRED_VERIFIED SEC_21344_000162828026010047,ACQUIRED_VERIFIED SEC_21344_000002134425000029,ACQUIRED_VERIFIED SEC_21344_000002134425000061,ACQUIRED_VERIFIED SEC_21344_000162828025046054
Microsoft Corporation,MSFT,ACQUIRED_VERIFIED SEC_789019_000095017023035122,ACQUIRED_VERIFIED SEC_789019_000095017024087843,ACQUIRED_VERIFIED SEC_789019_000095017025100235,ACQUIRED_VERIFIED SEC_789019_000095017024118967,ACQUIRED_VERIFIED SEC_789019_000095017025010491,ACQUIRED_VERIFIED SEC_789019_000095017025061046
NVIDIA Corporation,NVDA,ACQUIRED_VERIFIED SEC_1045810_000104581023000017,ACQUIRED_VERIFIED SEC_1045810_000104581024000029,ACQUIRED_VERIFIED SEC_1045810_000104581025000023,ACQUIRED_VERIFIED SEC_1045810_000104581024000124,ACQUIRED_VERIFIED SEC_1045810_000104581024000264,ACQUIRED_VERIFIED SEC_1045810_000104581024000316
Pfizer Inc.,PFE,ACQUIRED_VERIFIED SEC_78003_000007800324000039,ACQUIRED_VERIFIED SEC_78003_000007800325000054,ACQUIRED_VERIFIED SEC_78003_000007800326000026,ACQUIRED_VERIFIED SEC_78003_000007800325000114,ACQUIRED_VERIFIED SEC_78003_000007800325000138,ACQUIRED_VERIFIED SEC_78003_000007800325000150
"Tesla, Inc.",TSLA,ACQUIRED_VERIFIED SEC_1318605_000162828024002390,ACQUIRED_VERIFIED SEC_1318605_000162828025003063,ACQUIRED_VERIFIED SEC_1318605_000162828026003952,ACQUIRED_VERIFIED SEC_1318605_000162828025018911,ACQUIRED_VERIFIED SEC_1318605_000162828025035806,ACQUIRED_VERIFIED SEC_1318605_000162828025045968
Visa Inc.,V,ACQUIRED_VERIFIED SEC_1403161_000140316123000099,ACQUIRED_VERIFIED SEC_1403161_000140316124000058,ACQUIRED_VERIFIED SEC_1403161_000140316125000089,ACQUIRED_VERIFIED SEC_1403161_000140316125000017,ACQUIRED_VERIFIED SEC_1403161_000140316125000037,ACQUIRED_VERIFIED SEC_1403161_000140316125000052
