company,ticker,FY2023 annual,FY2024 annual,FY2025 annual,FY2025 Q1,FY2025 Q2,FY2025 Q3
Microsoft Corporation,MSFT,VERIFIED SEC_789019_000095017023035122,VERIFIED SEC_789019_000095017024087843,VERIFIED SEC_789019_000095017025100235,VERIFIED SEC_789019_000095017024118967,VERIFIED SEC_789019_000095017025010491,VERIFIED SEC_789019_000095017025061046
Apple Inc.,AAPL,VERIFIED SEC_320193_000032019323000106,VERIFIED SEC_320193_000032019324000123,VERIFIED SEC_320193_000032019325000079,VERIFIED SEC_320193_000032019325000008,VERIFIED SEC_320193_000032019325000057,VERIFIED SEC_320193_000032019325000073
NVIDIA Corporation,NVDA,VERIFIED SEC_1045810_000104581023000017,VERIFIED SEC_1045810_000104581024000029,VERIFIED SEC_1045810_000104581025000023,VERIFIED SEC_1045810_000104581024000124,VERIFIED SEC_1045810_000104581024000264,VERIFIED SEC_1045810_000104581024000316
JPMorgan Chase & Co.,JPM,VERIFIED SEC_19617_000001961724000225,VERIFIED SEC_19617_000001961725000270,VERIFIED SEC_19617_000162828026008131,VERIFIED SEC_19617_000001961725000421,VERIFIED SEC_19617_000001961725000615,VERIFIED SEC_19617_000162828025048859
"Tesla, Inc.",TSLA,VERIFIED SEC_1318605_000162828024002390,VERIFIED SEC_1318605_000162828025003063,VERIFIED SEC_1318605_000162828026003952,VERIFIED SEC_1318605_000162828025018911,VERIFIED SEC_1318605_000162828025035806,VERIFIED SEC_1318605_000162828025045968
The Coca-Cola Company,KO,VERIFIED SEC_21344_000002134424000009,VERIFIED SEC_21344_000002134425000011,VERIFIED SEC_21344_000162828026010047,VERIFIED SEC_21344_000002134425000029,VERIFIED SEC_21344_000002134425000061,VERIFIED SEC_21344_000162828025046054
Visa Inc.,V,VERIFIED SEC_1403161_000140316123000099,VERIFIED SEC_1403161_000140316124000058,VERIFIED SEC_1403161_000140316125000089,VERIFIED SEC_1403161_000140316125000017,VERIFIED SEC_1403161_000140316125000037,VERIFIED SEC_1403161_000140316125000052
Pfizer Inc.,PFE,VERIFIED SEC_78003_000007800324000039,VERIFIED SEC_78003_000007800325000054,WARNING SEC_78003_000007800326000026,VERIFIED SEC_78003_000007800325000114,VERIFIED SEC_78003_000007800325000138,VERIFIED SEC_78003_000007800325000150
Alphabet Inc.,GOOGL,VERIFIED SEC_1652044_000165204424000022,VERIFIED SEC_1652044_000165204425000014,WARNING SEC_1652044_000165204426000018,VERIFIED SEC_1652044_000165204425000043,VERIFIED SEC_1652044_000165204425000062,VERIFIED SEC_1652044_000165204425000091
"Amazon.com, Inc.",AMZN,VERIFIED SEC_1018724_000101872424000008,VERIFIED SEC_1018724_000101872425000004,VERIFIED SEC_1018724_000101872426000004,VERIFIED SEC_1018724_000101872425000036,VERIFIED SEC_1018724_000101872425000086,VERIFIED SEC_1018724_000101872425000123
